,decade,z_base,count,d,viz_decade
0,1951,-3.57,1,2.875215641173088e-05,1951-1960
1,1951,-3.371,2,5.750431282346176e-05,1951-1960
2,1951,-3.271,4,0.00011500862564692352,1951-1960
3,1951,-3.072,7,0.00020126509488211617,1951-1960
4,1951,-2.972,10,0.0002875215641173088,1951-1960
5,1951,-2.873,13,0.00037377803335250144,1951-1960
6,1951,-2.773,17,0.000488786658999425,1951-1960
7,1951,-2.673,33,0.000948821161587119,1951-1960
8,1951,-2.574,38,0.0010925819436457735,1951-1960
9,1951,-2.474,49,0.0014088556641748131,1951-1960
10,1951,-2.374,82,0.0023576768257619323,1951-1960
11,1951,-2.275,106,0.0030477285796434734,1951-1960
12,1951,-2.175,122,0.0035077630822311673,1951-1960
13,1951,-2.076,150,0.004312823461759632,1951-1960
14,1951,-1.976,191,0.005491661874640598,1951-1960
15,1951,-1.876,263,0.007561817136285221,1951-1960
16,1951,-1.777,295,0.00848188614146061,1951-1960
17,1951,-1.677,389,0.011184588844163313,1951-1960
18,1951,-1.577,423,0.012162162162162163,1951-1960
19,1951,-1.478,480,0.013801035077630822,1951-1960
20,1951,-1.378,520,0.014951121334100058,1951-1960
21,1951,-1.279,567,0.01630247268545141,1951-1960
22,1951,-1.179,637,0.01831512363427257,1951-1960
23,1951,-1.079,707,0.020327774583093733,1951-1960
24,1951,-0.98,766,0.022024151811385853,1951-1960
25,1951,-0.88,886,0.02547441058079356,1951-1960
26,1951,-0.78,956,0.02748706152961472,1951-1960
27,1951,-0.681,1077,0.030966072455434156,1951-1960
28,1951,-0.581,1096,0.031512363427257044,1951-1960
29,1951,-0.482,1132,0.03254744105807936,1951-1960
30,1951,-0.382,1243,0.03573893041978148,1951-1960
31,1951,-0.282,1366,0.039275445658424384,1951-1960
32,1951,-0.183,1334,0.03835537665324899,1951-1960
33,1951,-0.0831,1388,0.03990799309948246,1951-1960
34,1951,0.0165,1372,0.03944795859689477,1951-1960
35,1951,0.116,1369,0.039361702127659576,1951-1960
36,1951,0.216,1352,0.038872915468660146,1951-1960
37,1951,0.315,1256,0.03611270845313398,1951-1960
38,1951,0.415,1225,0.03522139160437033,1951-1960
39,1951,0.515,1139,0.03274870615296147,1951-1960
40,1951,0.614,1053,0.030276020701552615,1951-1960
41,1951,0.714,991,0.028493387004025303,1951-1960
42,1951,0.814,930,0.026739505462909718,1951-1960
43,1951,0.913,880,0.025301897642323174,1951-1960
44,1951,1.013,809,0.02326049453709028,1951-1960
45,1951,1.112,749,0.02153536515238643,1951-1960
46,1951,1.212,703,0.02021276595744681,1951-1960
47,1951,1.312,683,0.019637722829212192,1951-1960
48,1951,1.411,591,0.01699252443933295,1951-1960
49,1951,1.511,506,0.014548591144335826,1951-1960
50,1951,1.611,470,0.013513513513513514,1951-1960
51,1951,1.71,381,0.010954571592869465,1951-1960
52,1951,1.81,405,0.011644623346751006,1951-1960
53,1951,1.909,312,0.008970672800460034,1951-1960
54,1951,2.009,262,0.00753306497987349,1951-1960
55,1951,2.109,206,0.0059229442208165615,1951-1960
56,1951,2.208,174,0.005002875215641173,1951-1960
57,1951,2.308,153,0.004399079930994825,1951-1960
58,1951,2.408,107,0.003076480736055204,1951-1960
59,1951,2.507,96,0.0027602070155261643,1951-1960
60,1951,2.607,69,0.0019838987924094306,1951-1960
61,1951,2.706,55,0.0015813686026451984,1951-1960
62,1951,2.806,50,0.001437607820586544,1951-1960
63,1951,2.906,26,0.0007475560667050029,1951-1960
64,1951,3.005,26,0.0007475560667050029,1951-1960
65,1951,3.105,11,0.0003162737205290397,1951-1960
66,1951,3.205,8,0.00023001725129384704,1951-1960
67,1951,3.304,3,8.625646923519264e-05,1951-1960
68,1951,3.404,5,0.0001437607820586544,1951-1960
69,1951,3.503,1,2.875215641173088e-05,1951-1960
70,1951,3.703,1,2.875215641173088e-05,1951-1960
71,1951,3.802,1,2.875215641173088e-05,1951-1960
72,1961,-3.47,1,2.4974401238730302e-05,1961-1970
73,1961,-3.371,2,4.9948802477460604e-05,1961-1970
74,1961,-3.171,1,2.4974401238730302e-05,1961-1970
75,1961,-3.072,2,4.9948802477460604e-05,1961-1970
76,1961,-2.972,2,4.9948802477460604e-05,1961-1970
